_id,"T players","CT Players",Map,"T Steamids","CT steamids"
22-1-2021_1-46-4,3,0,jb_minecraft_tango_v2,"STEAM_0:1:516159797 STEAM_0:1:115672562 STEAM_0:0:502995616",""
22-1-2021_1-51-4,3,0,jb_minecraft_tango_v2,"STEAM_0:1:516159797 STEAM_0:1:115672562 STEAM_0:0:502995616",""
22-1-2021_1-56-4,3,0,jb_minecraft_tango_v2,"STEAM_0:1:516159797 STEAM_0:1:115672562 STEAM_0:0:502995616",""
22-1-2021_2-1-4,2,1,jb_sorse_v7,"STEAM_0:1:115672562 STEAM_0:0:502995616","STEAM_0:1:516159797"
22-1-2021_2-6-4,2,0,jb_sorse_v7,"STEAM_0:1:115672562 STEAM_0:0:502995616",""
22-1-2021_2-11-4,0,0,jb_sorse_v7,"",""
22-1-2021_2-16-4,0,0,jb_sorse_v7,"",""
22-1-2021_3-41-4,0,0,jb_sorse_v7,"",""
22-1-2021_3-46-4,1,0,jb_sorse_v7,"STEAM_0:1:421897392",""
22-1-2021_3-51-4,1,0,jb_sorse_v7,"STEAM_0:1:421897392",""
22-1-2021_3-56-4,1,0,jb_sorse_v7,"STEAM_0:1:421897392",""
22-1-2021_4-1-4,1,0,jb_sorse_v7,"STEAM_0:1:421897392",""
22-1-2021_4-51-4,0,0,jb_sorse_v7,"",""
22-1-2021_4-56-4,0,0,jb_sorse_v7,"",""
22-1-2021_5-1-4,0,0,jb_sorse_v7,"",""
22-1-2021_5-6-4,0,0,jb_sorse_v7,"",""
22-1-2021_5-11-4,1,0,jb_sorse_v7,"STEAM_0:0:35460954",""
22-1-2021_5-16-4,1,0,jb_sorse_v7,"STEAM_0:0:35460954",""
22-1-2021_5-21-4,1,0,jb_sorse_v7,"STEAM_0:0:35460954",""
22-1-2021_5-26-4,1,0,jb_autumn_v2,"STEAM_0:0:35460954",""
22-1-2021_5-31-4,1,0,jb_autumn_v2,"STEAM_0:0:35460954",""
22-1-2021_5-36-4,0,0,jb_autumn_v2,"",""
22-1-2021_5-41-4,1,0,jb_autumn_v2,"STEAM_0:0:35460954",""
22-1-2021_5-46-4,1,0,jb_autumn_v2,"STEAM_0:0:35460954",""
22-1-2021_5-51-4,1,0,jb_vice_tango_final,"STEAM_0:0:94292904",""
22-1-2021_5-56-4,1,0,jb_vice_tango_final,"STEAM_0:0:94292904",""
22-1-2021_6-1-4,1,0,jb_quad_v2,"STEAM_0:0:94292904",""
22-1-2021_6-6-4,0,0,jb_quad_v2,"",""
22-1-2021_6-11-3,0,0,jb_quad_v2,"",""
22-1-2021_6-31-3,1,0,jb_quad_v2,"STEAM_0:1:125418922",""
22-1-2021_6-36-3,2,0,jb_quad_v2,"STEAM_0:0:94292904 STEAM_0:1:125418922",""
22-1-2021_6-41-3,2,0,jb_quad_v2,"STEAM_0:0:94292904 STEAM_0:1:125418922",""
22-1-2021_6-46-3,1,0,jb_moti2_final,"STEAM_0:0:94292904",""
22-1-2021_6-51-3,2,0,jb_moti2_final,"STEAM_0:0:94292904 STEAM_0:0:62400328",""
22-1-2021_6-56-3,3,0,jb_moti2_final,"STEAM_0:0:94292904 STEAM_0:0:62400328 STEAM_0:1:421897392",""
22-1-2021_7-1-3,4,0,jb_moti2_final,"STEAM_0:0:506717430 STEAM_0:0:94292904 STEAM_0:0:62400328 STEAM_0:1:421897392",""
22-1-2021_7-6-3,2,0,jb_moti2_final,"STEAM_0:0:506717430 STEAM_0:1:421897392",""
22-1-2021_7-11-3,1,0,jb_moti2_final,"STEAM_0:1:421897392",""
22-1-2021_7-16-3,0,0,jb_moti2_final,"",""
22-1-2021_7-21-3,2,0,jb_moti2_final,"STEAM_0:1:449632070 STEAM_0:1:421897392",""
22-1-2021_7-26-3,0,0,jb_moti2_final,"",""
22-1-2021_7-36-3,2,0,jb_moti2_final,"STEAM_0:1:523149182 STEAM_0:0:526644643",""
22-1-2021_7-41-3,2,0,jb_moti2_final,"STEAM_0:1:523149182 STEAM_0:0:526644643",""
22-1-2021_7-46-3,1,0,jb_moti2_final,"STEAM_0:0:526644643",""
22-1-2021_7-51-3,1,0,jb_moti2_final,"STEAM_0:0:526644643",""
22-1-2021_7-56-3,2,0,jb_moti2_final,"STEAM_0:1:585950840 STEAM_0:0:526644643",""
22-1-2021_8-1-3,1,0,jb_moti2_final,"STEAM_0:0:526644643",""
22-1-2021_8-36-3,0,0,jb_moti2_final,"",""
22-1-2021_8-41-3,0,0,jb_moti2_final,"",""
22-1-2021_8-51-3,1,0,jb_moti2_final,"STEAM_0:0:157034120",""
22-1-2021_8-56-3,1,0,jb_moti2_final,"STEAM_0:0:157034120",""
22-1-2021_9-1-3,2,0,jb_moti2_final,"STEAM_0:0:157034120 STEAM_0:1:519196277",""
22-1-2021_9-6-3,0,0,jb_moti2_final,"",""
22-1-2021_9-11-3,0,0,jb_moti2_final,"",""
22-1-2021_9-31-4,1,0,jb_moti2_final,"STEAM_0:1:591545594",""
22-1-2021_9-36-4,1,0,jb_moti2_final,"STEAM_0:1:591545594",""
22-1-2021_9-41-4,0,0,jb_moti2_final,"",""
22-1-2021_9-56-4,1,0,jb_moti2_final,"STEAM_0:1:67984675",""
22-1-2021_10-1-4,1,0,jb_moti2_final,"STEAM_0:0:504089511",""
22-1-2021_10-6-4,0,0,jb_moti2_final,"",""
22-1-2021_10-11-4,1,0,jb_moti2_final,"STEAM_0:0:504089511",""
22-1-2021_10-16-4,2,0,jb_moti2_final,"STEAM_0:0:504089511 STEAM_0:1:427402928",""
22-1-2021_10-21-4,0,0,jb_moti2_final,"",""
22-1-2021_10-31-4,1,0,jb_moti2_final,"STEAM_0:1:67984675",""
22-1-2021_10-36-4,2,0,jb_moti2_final,"STEAM_0:1:67984675 STEAM_0:0:526644643",""
22-1-2021_10-41-4,2,0,jb_moti2_final,"STEAM_0:1:67984675 STEAM_0:0:526644643",""
22-1-2021_10-46-4,2,0,jb_moti2_final,"STEAM_0:1:67984675 STEAM_0:0:526644643",""
22-1-2021_10-49-4,2,0,jb_clouds_tango_v7d,"STEAM_0:1:67984675 STEAM_0:0:526644643",""
